"","state.name","Year","Total.Population","White.Alone","Black.Alone","American.Indian.or.Alaskan.Native","Asian.Alone","Hawaiian.or.Pacific.Islander.Alone","Two.or.More.Races","Not.Hispanic","Hispanic","state"
"1","Alabama",1990,4050055,2987764,1024198,16224,21869,NA,NA,4025948,24107,"AL"
"2","Alabama",1991,4099156,3018779,1040280,17015,23082,NA,NA,4074144,25012,"AL"
"3","Alabama",1992,4154014,3051680,1060627,17357,24350,NA,NA,4127269,26745,"AL"
"4","Alabama",1993,4214202,3088449,1081479,18002,26272,NA,NA,4184665,29537,"AL"
"5","Alabama",1994,4260229,3114389,1099593,18566,27681,NA,NA,4227077,33152,"AL"
"6","Alabama",1995,4296800,3134093,1114033,19386,29288,NA,NA,4259532,37268,"AL"
"7","Alabama",1996,4331103,3154959,1125093,20493,30558,NA,NA,4288307,42796,"AL"
"8","Alabama",1997,4367935,3174843,1140120,21229,31743,NA,NA,4318508,49427,"AL"
"9","Alabama",1998,4404701,3198040,1152248,21783,32630,NA,NA,4347802,56899,"AL"
"10","Alabama",1999,4430141,3211308,1162673,22666,33494,NA,NA,4364958,65183,"AL"
"11","Alabama",2000,4452173,3196875,1161454,23262,32544,1608,36430,4375157,77016,"AL"
"12","Alabama",2001,4467634,3201387,1167403,24084,33971,1963,38826,4381912,85722,"AL"
"13","Alabama",2002,4480089,3204279,1171672,24966,35810,2272,41090,4385910,94179,"AL"
"14","Alabama",2003,4503491,3215079,1178398,25920,37929,2625,43540,4400019,103472,"AL"
"15","Alabama",2004,4530729,3227772,1186375,26755,40712,2983,46132,4417445,113284,"AL"
"16","Alabama",2005,4569805,3249443,1197062,27606,43406,3290,48998,4444983,124822,"AL"
"17","Alabama",2006,4628981,3283056,1215481,28666,46030,3710,52038,4491139,137842,"AL"
"18","Alabama",2007,4672840,3308005,1227620,29666,48454,3996,55099,4522188,150652,"AL"
"19","Alabama",2008,4718206,3332141,1241613,30722,50683,4443,58604,4554497,163709,"AL"
"20","Alabama",2009,4757938,3353244,1252307,31825,53747,4796,62019,4581420,176518,"AL"
"21","Alabama",2010,4785437,3365559,1261234,32883,55721,5167,64873,4599249,186188,"AL"
"22","Alabama",2011,4799069,3369252,1266978,32793,57527,5030,67489,4609276,189793,"AL"
"23","Alabama",2012,4815588,3371064,1275628,32863,60785,4970,70278,4624933,190655,"AL"
"24","Alabama",2013,4830081,3372203,1284340,32896,63011,4901,72730,4636950,193131,"AL"
"25","Alabama",2014,4841799,3373358,1290579,33095,64943,4911,74913,4646125,195674,"AL"
"26","Alabama",2015,4852347,3372343,1297313,33332,67141,4916,77302,4652663,199684,"AL"
"27","Alabama",2016,4863525,3374106,1301635,33610,69476,4916,79782,4658145,205380,"AL"
"28","Alabama",2017,4874486,3376527,1305617,33840,71245,4961,82296,4664076,210410,"AL"
"29","Alabama",2018,4887681,3381642,1309574,34281,72354,5048,84782,4670490,217191,"AL"
"30","Alabama",2019,4903185,3389396,1313291,34799,73715,5110,86874,4679907,223278,"AL"
"31","Alabama",2020,5031864,3472359,1348870,36130,77080,5728,91697,4766801,265063,"AL"
"32","Alabama",2021,5050380,3483187,1351233,36531,78606,5762,95061,4778155,272225,"AL"
"33","Alabama",2022,5073903,3497032,1354850,37314,80081,5872,98754,4793242,280661,"AL"
"34","Alabama",2023,5108468,3519476,1360275,38281,81665,6075,102696,4818024,290444,"AL"
"35","Alaska",1990,553290,423276,22665,87214,20135,NA,NA,536062,17228,"AK"
"36","Alaska",1991,570193,436361,23030,89608,21194,NA,NA,552355,17838,"AK"
"37","Alaska",1992,588736,449292,24744,92191,22509,NA,NA,570119,18617,"AK"
"38","Alaska",1993,599434,454995,26578,94088,23773,NA,NA,580312,19122,"AK"
"39","Alaska",1994,603308,456674,26129,95764,24741,NA,NA,583480,19828,"AK"
"40","Alaska",1995,604412,456965,24854,96969,25624,NA,NA,583989,20423,"AK"
"41","Alaska",1996,608569,457769,24463,99390,26947,NA,NA,587502,21067,"AK"
"42","Alaska",1997,612968,457908,25352,101459,28249,NA,NA,590772,22196,"AK"
"43","Alaska",1998,619933,460556,26195,103986,29196,NA,NA,597102,22831,"AK"
"44","Alaska",1999,624779,462052,26610,105727,30390,NA,NA,600782,23997,"AK"
"45","Alaska",2000,627963,446506,22843,98931,26007,3490,30186,602000,25963,"AK"
"46","Alaska",2001,633714,448602,23269,99332,27198,3819,31494,605725,27989,"AK"
"47","Alaska",2002,642337,452784,23838,99969,28482,4257,33007,612394,29943,"AK"
"48","Alaska",2003,648414,454912,23633,100717,29929,4695,34528,616997,31417,"AK"
"49","Alaska",2004,659286,460845,23841,101835,31077,5073,36615,626407,32879,"AK"
"50","Alaska",2005,666946,464201,23577,102888,32350,5488,38442,632524,34422,"AK"
"51","Alaska",2006,675302,468452,23544,103603,33258,5784,40661,639797,35505,"AK"
"52","Alaska",2007,680300,469996,23785,103803,34072,6169,42475,644071,36229,"AK"
"53","Alaska",2008,687455,472582,23955,104406,35488,6589,44435,650199,37256,"AK"
"54","Alaska",2009,698895,477369,23979,105769,37726,7191,46861,660663,38232,"AK"
"55","Alaska",2010,713910,485960,24633,106713,39284,7762,49558,673898,40012,"AK"
"56","Alaska",2011,722128,489454,25366,108090,40645,8118,50455,680011,42117,"AK"
"57","Alaska",2012,730443,492838,26506,109278,42087,8639,51095,685283,45160,"AK"
"58","Alaska",2013,737068,494783,27186,110542,43737,9083,51737,689477,47591,"AK"
"59","Alaska",2014,736283,492186,26975,111450,44331,9179,52162,687134,49149,"AK"
"60","Alaska",2015,737498,490845,27019,112416,45254,9424,52540,687074,50424,"AK"
"61","Alaska",2016,741456,490758,27559,113262,46704,9848,53325,689486,51970,"AK"
"62","Alaska",2017,739700,486188,27739,113738,48035,10256,53744,686587,53113,"AK"
"63","Alaska",2018,735139,481239,27652,114006,47838,10313,54091,681993,53146,"AK"
"64","Alaska",2019,731545,477488,27108,113953,47799,10498,54699,678333,53212,"AK"
"65","Alaska",2020,732964,473564,26903,114740,48951,11734,57072,682452,50512,"AK"
"66","Alaska",2021,734923,473406,26941,115096,49169,12058,58253,682782,52141,"AK"
"67","Alaska",2022,733276,471297,26918,114693,49309,12181,58878,679807,53469,"AK"
"68","Alaska",2023,733406,470497,26911,114386,49670,12444,59498,678707,54699,"AK"
"69","Arizona",1990,3684097,3293186,115796,215940,59175,NA,NA,2986437,697660,"AZ"
"70","Arizona",1991,3788576,3380441,121994,222457,63684,NA,NA,3050730,737846,"AZ"
"71","Arizona",1992,3915740,3490693,127617,229298,68132,NA,NA,3128225,787515,"AZ"
"72","Arizona",1993,4065440,3620665,133252,237276,74247,NA,NA,3222568,842872,"AZ"
"73","Arizona",1994,4245089,3778735,141948,243930,80476,NA,NA,3345519,899570,"AZ"
"74","Arizona",1995,4432499,3941788,150424,253174,87113,NA,NA,3467336,965163,"AZ"
"75","Arizona",1996,4586940,4075957,157868,259560,93555,NA,NA,3558898,1028042,"AZ"
"76","Arizona",1997,4736990,4207817,164445,265399,99329,NA,NA,3645225,1091765,"AZ"
"77","Arizona",1998,4883342,4337508,171440,269706,104688,NA,NA,3720580,1162762,"AZ"
"78","Arizona",1999,5023823,4460582,177619,275286,110336,NA,NA,3788107,1235716,"AZ"
"79","Arizona",2000,5160586,4542461,170022,268184,99270,8746,71903,3851197,1309389,"AZ"
"80","Arizona",2001,5273477,4629736,177795,271935,106209,9348,78454,3906561,1366916,"AZ"
"81","Arizona",2002,5396255,4723484,186140,277602,113754,9961,85314,3969818,1426437,"AZ"
"82","Arizona",2003,5510364,4808335,194179,283724,121029,10645,92452,4029456,1480908,"AZ"
"83","Arizona",2004,5652404,4915749,205171,290212,129542,11297,100433,4111398,1541006,"AZ"
"84","Arizona",2005,5839077,5057542,218998,298844,141711,12384,109598,4220738,1618339,"AZ"
"85","Arizona",2006,6029141,5196133,235636,308302,156142,13312,119616,4327178,1701963,"AZ"
"86","Arizona",2007,6167681,5290642,249757,316798,167344,14357,128783,4394036,1773645,"AZ"
"87","Arizona",2008,6280362,5361814,263512,325262,176686,15163,137925,4449496,1830866,"AZ"
"88","Arizona",2009,6343154,5391934,274594,330731,183714,15728,146453,4476334,1866820,"AZ"
"89","Arizona",2010,6407172,5428229,282201,336552,190068,16174,153948,4503738,1903434,"AZ"
"90","Arizona",2011,6472643,5466518,289308,341844,198809,16425,159739,4536461,1936182,"AZ"
"91","Arizona",2012,6554978,5518860,298261,347962,207376,16769,165750,4580425,1974553,"AZ"
"92","Arizona",2013,6632764,5566820,306678,353396,216801,17114,171955,4619306,2013458,"AZ"
"93","Arizona",2014,6730413,5631624,316562,359222,227208,17504,178293,4671695,2058718,"AZ"
"94","Arizona",2015,6829676,5699435,328032,364354,235660,17867,184328,4721571,2108105,"AZ"
"95","Arizona",2016,6941072,5773622,340938,370059,246542,18356,191555,4783080,2157992,"AZ"
"96","Arizona",2017,7044008,5845558,352008,375655,253937,19040,197810,4836234,2207774,"AZ"
"97","Arizona",2018,7158024,5928410,364149,380930,259928,19534,205073,4899168,2258856,"AZ"
"98","Arizona",2019,7278717,6013442,376997,385903,268723,20169,213483,4968127,2310590,"AZ"
"99","Arizona",2020,7186683,5904827,388003,376529,276235,20286,220803,4980024,2206659,"AZ"
"100","Arizona",2021,7272487,5963831,399058,377886,282488,20767,228457,5021473,2251014,"AZ"
"101","Arizona",2022,7365684,6021317,412299,380953,292950,21508,236657,5063307,2302377,"AZ"
"102","Arizona",2023,7431344,6056359,422598,383596,303691,21999,243101,5084538,2346806,"AZ"
"103","Arkansas",1990,2356586,1956611,375370,12356,12249,NA,NA,2337378,19208,"AR"
"104","Arkansas",1991,2383144,1977662,380194,12598,12690,NA,NA,2362077,21067,"AR"
"105","Arkansas",1992,2415984,2002832,386732,13177,13243,NA,NA,2392855,23129,"AR"
"106","Arkansas",1993,2456303,2034508,393794,13456,14545,NA,NA,2429502,26801,"AR"
"107","Arkansas",1994,2494019,2066260,398538,13657,15564,NA,NA,2462673,31346,"AR"
"108","Arkansas",1995,2535399,2099481,404627,14317,16974,NA,NA,2496661,38738,"AR"
"109","Arkansas",1996,2572109,2127070,411450,15325,18264,NA,NA,2523428,48681,"AR"
"110","Arkansas",1997,2601091,2149156,416292,16028,19615,NA,NA,2545260,55831,"AR"
"111","Arkansas",1998,2626289,2168119,420780,17040,20350,NA,NA,2561478,64811,"AR"
"112","Arkansas",1999,2651860,2187944,424438,18045,21433,NA,NA,2577233,74627,"AR"
"113","Arkansas",2000,2678588,2186443,421693,18311,21100,1986,29055,2590784,87804,"AR"
"114","Arkansas",2001,2691571,2193483,423863,19041,22166,2424,30594,2595045,96526,"AR"
"115","Arkansas",2002,2705927,2202027,425707,19690,23437,2859,32207,2600233,105694,"AR"
"116","Arkansas",2003,2724816,2214256,427838,20346,25056,3285,34035,2609192,115624,"AR"
"117","Arkansas",2004,2749686,2231084,430882,21013,27060,3664,35983,2624583,125103,"AR"
"118","Arkansas",2005,2781097,2253503,434165,22032,29107,4117,38173,2643949,137148,"AR"
"119","Arkansas",2006,2821761,2281831,441071,22701,31116,4641,40401,2672178,149583,"AR"
"120","Arkansas",2007,2848650,2301121,443348,23653,32810,5021,42697,2688253,160397,"AR"
"121","Arkansas",2008,2874554,2317769,447621,24472,34246,5477,44969,2704323,170231,"AR"
"122","Arkansas",2009,2896843,2331280,450633,25166,36260,6136,47368,2717804,179039,"AR"
"123","Arkansas",2010,2921964,2346342,455030,26251,37955,6808,49578,2734482,187482,"AR"
"124","Arkansas",2011,2940667,2357417,457824,26646,40112,7324,51344,2747074,193593,"AR"
"125","Arkansas",2012,2952164,2361880,459418,27260,42695,7654,53257,2753052,199112,"AR"
"126","Arkansas",2013,2959400,2363626,461473,27544,43592,7943,55222,2755444,203956,"AR"
"127","Arkansas",2014,2967392,2365842,463401,27954,44822,8469,56904,2758998,208394,"AR"
"128","Arkansas",2015,2978048,2369297,466189,28396,46279,9065,58822,2764400,213648,"AR"
"129","Arkansas",2016,2989918,2372809,469025,29074,48232,9876,60902,2770530,219388,"AR"
"130","Arkansas",2017,3001345,2377792,470694,29804,49422,10657,62976,2775260,226085,"AR"
"131","Arkansas",2018,3009733,2381554,471988,30292,49602,11261,65036,2778059,231674,"AR"
"132","Arkansas",2019,3017804,2385258,473048,30717,50403,11786,66592,2781173,236631,"AR"
"133","Arkansas",2020,3014348,2372445,475532,31940,52963,12946,68522,2756369,257979,"AR"
"134","Arkansas",2021,3028443,2381046,475664,32789,54483,13525,70936,2763052,265391,"AR"
