state.name,state,medianincome_2023,medianincome_2022,medianincome_2021,medianincome_2020,medianincome_2019,medianincome_2018,medianincome_2017,medianincome_2016,medianincome_2015,medianincome_2014,medianincome_2013,medianincome_2012,medianincome_2011,medianincome_2010,medianincome_2009,medianincome_2008,medianincome_2007,medianincome_2006,medianincome_2005,medianincome_2004
Alabama,AL,60660,59910,56930,54393,56901,49936,51113,47221,44509,42327,48150,44869,44884,44499,44166,48962,48254,44615,45088,45961
Alaska,AK,98190,89740,81130,74476,79373,68734,72231,75723,75112,67707,73743,65705,60525,62887,68054,70443,72010,66323,67833,69092
Arizona,AZ,82660,73450,70820,66628,71556,62283,61125,57100,52248,49311,53533,48564,51240,50981,50528,51645,53973,54848,54912,55017
Arkansas,AR,63250,53980,50780,50540,55220,49781,48829,45907,42798,44974,40066,40279,43527,41948,40363,43578,46634,43563,44490,43897
California,CA,89870,85300,81580,77358,79080,70489,69759,66637,63636,60557,61860,58863,56242,59011,62011,62764,63712,65031,62813,61763
Colorado,CO,96640,89930,84950,82611,73404,73034,74172,70566,66596,61010,69103,59105,61788,65480,61786,67089,69893,65475,61228,63850
Connecticut,CT,92240,90730,80960,79043,88380,72812,72780,75923,72889,70242,70506,66323,68939,71747,71641,71205,73322,73359,68979,69138
Delaware,DE,86340,80750,68690,69132,75120,65012,62318,58046,57756,57588,55039,50555,57605,60023,57570,55815,62403,61644,62182,60291
D.C.,DC,111000,101700,90640,88311,94273,85750,83382,70982,70071,68356,61110,67354,58228,61887,58705,61196,58052,56987,54606,54521
Florida,FL,72200,65370,59730,57435,59097,54644,53681,51176,48825,46193,49383,47560,47535,47904,50408,49381,52349,53695,52175,50862
Georgia,GA,72420,67730,61500,58952,57335,55821,57016,53527,50768,49612,47816,49676,48450,47960,47878,50889,55603,58007,55739,51426
Hawaii,HI,97360,91010,82200,80729,89105,80108,73575,72133,64514,71305,65361,58081,62228,64725,61475,67726,73186,71086,72317,70571
Idaho,ID,73910,72580,76920,66499,66812,58728,60208,56564,51624,53499,49317,49471,50016,51148,51675,52202,56224,54326,53615,55659
Illinois,IL,87820,78020,79250,73753,75328,70145,64609,61386,60413,54979,54883,53410,53365,55147,58405,58625,60022,57216,58739,57816
Indiana,IN,76910,70030,70190,66360,67526,59892,58873,56094,51983,48115,50322,47650,46839,50158,48944,51212,54245,53379,51504,53113
Iowa,IA,80860,76320,72430,68469,66879,68718,63481,59094,60855,57876,61211,55169,52925,53286,56031,55199,55909,56575,56435,54446
Kansas,KS,84830,73040,75980,72815,74065,63938,57872,56810,54865,53505,48658,51619,48633,50066,49399,52706,55439,53549,51007,51529
Kentucky,KY,61980,55870,55630,56525,56357,54555,51348,45369,42387,42835,45666,42414,42003,44684,47131,45298,45099,46417,44540,44683
Louisiana,LA,57650,58320,57210,50935,52352,49973,43903,42196,45922,42455,47239,40348,42848,42723,50190,43553,47226,42894,45192,45710
Maine,ME,75740,75160,71140,63440,67377,58663,51664,50856,50756,51769,55921,50747,52370,52106,52475,51991,54749,53655,53308,51859
Maryland,MD,102000,108200,97330,94384,96765,86223,81084,73760,73594,76253,70569,74157,72587,69793,70906,70136,75024,74845,73441,71651
Massachusetts,MA,106500,93550,86570,86725,88802,86345,73227,72266,67861,63224,63625,65713,66724,66242,65589,66403,66831,65044,67986,65272
Michigan,MI,76960,68990,64490,63829,64920,60449,57700,57091,54203,52065,57559,51631,51512,50307,50809,54809,56437,57187,55747,53022
Minnesota,MN,90340,90390,80440,78461,82443,71817,71920,70218,68730,67321,65452,63792,60935,56878,61962,60464,66368,66079,65799,70398
Mississippi,MS,55060,48610,46640,44966,45346,42781,43441,41099,40037,35562,32905,37825,43304,41484,38751,40122,42615,40831,39899,43610
Missouri,MO,78290,71520,63590,61901,61353,61726,56885,55016,59196,56695,47115,51372,48240,49808,53875,50681,52590,52405,52171,52872
Montana,MT,79220,72970,65000,56442,60946,57679,59087,57075,51395,51161,43958,46545,42447,44876,44671,47227,49904,48321,45285,42607
Nebraska,NE,89190,78360,78110,72024,73983,67575,59619,59374,60474,56935,58633,53883,58612,57077,54787,55844,56213,56597,58162,54942
Nevada,NV,81310,72330,64340,60956,71791,61864,56550,55431,52008,49932,52755,48863,49577,55660,56819,60265,61796,61460,58509,59230
New Hampshire,NH,98780,84970,88840,88235,87984,81346,74801,76260,75675,73481,70311,70011,69429,72437,70845,72850,77249,72849,69159,71290
New Jersey,NJ,91590,92340,88560,85239,88821,74176,72997,68468,68357,65318,64872,68847,65696,68453,71559,71892,69169,80007,76907,69358
New Mexico,NM,60980,56420,53460,50822,53776,48283,47855,48451,45119,46740,40870,44827,44244,49065,48101,46348,50705,47055,47269,49641
New York,NY,81600,75910,72920,68304,72752,67274,62447,61437,58005,54372,50842,49221,53364,54117,55473,55550,55950,56688,57256,56024
North Carolina,NC,68610,65070,62890,60266,61922,53369,50343,53764,50797,46838,47149,42896,47641,47648,46293,47260,49741,46784,51042,50490
North Dakota,ND,76960,78720,68880,63657,70905,66505,59886,60184,57415,60800,60189,57568,59397,55449,55318,54636,53962,48253,51207,49212
Ohio,OH,73770,67520,62690,60110,65470,61633,59768,53985,53301,49701,51638,45809,47053,49883,50682,51667,56127,53958,53648,54024
Oklahoma,OK,67330,63440,60100,52341,60138,54434,55006,50943,47077,47253,46971,49971,51065,46858,50681,50761,49402,45656,45688,49707
Oregon,OR,88740,86780,81850,76554,75342,69165,64610,59135,60834,58943,49858,53448,54302,55010,54238,56944,57427,55358,53594,51438
Pennsylvania,PA,79820,72210,72630,70117,71463,64524,63173,60979,60389,55236,56123,53581,52599,52522,53215,56586,55370,56987,56193,55343
Rhode Island,RI,81860,80650,74980,80012,71027,62266,66390,61528,55701,58700,57311,57877,51675,56120,57040,58611,61970,63170,60057,60148
South Carolina,SC,69100,61770,62540,60097,62803,57444,54971,54336,46360,44981,44327,45836,42243,45330,45404,46406,50542,46572,48826,48548
South Dakota,SD,81740,67180,73890,69787,65057,59463,56894,57450,55065,53114,54350,51012,49767,49302,50624,56804,53062,53402,52371,51580
Tennessee,TN,72700,65380,62170,54665,57334,56060,55240,51344,47330,43766,44121,44384,44557,41953,44759,43706,47092,47837,47826,47772
Texas,TX,79060,74640,67400,68093,68286,59785,59295,58146,56473,53937,52307,53604,51689,51383,52445,51179,52645,50910,50272,51944
Utah,UT,101200,95800,87650,83670,85578,77067,71319,67481,66258,63456,62117,60226,58483,61640,64615,68844,61191,64218,66525,63832
Vermont,VT,85190,72190,76080,66902,75233,70066,63805,60837,59494,60778,66662,57378,54656,60800,57795,55820,54173,61107,61538,59387
Virginia,VA,96490,85170,80270,81947,82328,77151,71293,66451,61486,66231,67063,66721,65989,65625,66835,68236,67629,67147,63006,64170
Washington,WA,93440,89430,87650,81083,83483,79726,75418,70310,67243,59136,65043,64197,59913,61055,66715,62342,66393,64330,61467,62641
West Virginia,WV,60410,52460,46840,51615,54376,50573,45392,44354,42824,39597,43824,44960,44074,46503,44729,41826,48116,45164,44232,41876
Wisconsin,WI,79690,73330,69940,67094,68196,62629,63451,59817,55425,58147,52633,54794,54863,54737,56601,56364,58617,60767,54190,57383
Wyoming,WY,77200,73090,71050,65108,65947,62539,57837,57829,60925,55754,68623,59371,57446,56748,57963,58716,55721,55299,54273,56963
