"","state","Pollster","Obama","McCain","middate","days.until"
"1","AL","SurveyUSA-2",36,61,"10/27/08",8
"2","AL","Capital Survey-2",34,54,"10/15/08",20
"3","AL","SurveyUSA-2",35,62,"10/8/08",27
"4","AL","Capital Survey-2",35,55,"10/6/08",29
"5","AL","Rasmussen-1",39,60,"9/22/08",43
"6","AL","SurveyUSA-2",34,64,"9/16/08",49
"7","AL","ARG-4",36,58,"9/14/08",51
"8","AL","U. of South Alabama-8",25,52,"9/11/08",54
"9","AL","Capital Survey-7",35,55,"9/6/08",59
"10","AL","Capital Survey-7",34,47,"8/1/08",95
"11","AL","Rasmussen-1",37,55,"7/31/08",96
"12","AL","Rasmussen-1",36,51,"6/26/08",131
"13","AL","Capital Survey-2",36,49,"6/25/08",132
"14","AL","Capital Survey-5",33,57,"5/31/08",157
"15","AL","Rasmussen-1",32,60,"5/27/08",161
"16","AL","SurveyUSA-3",34,57,"5/17/08",171
"17","AL","Capital Survey-9",36,55,"4/20/08",198
"18","AL","SurveyUSA-3",32,64,"4/12/08",206
"19","AL","Rasmussen-1",37,55,"4/2/08",216
"20","AL","U. of South Alabama-4",30,57,"3/25/08",224
"21","AL","SurveyUSA-3",35,62,"3/15/08",234
"22","AL","SurveyUSA-3",40,54,"2/27/08",251
"23","AL","SurveyUSA-2",29,63,"1/16/08",293
"24","AL","Election 2004-1",37,63,"1/1/08",308
"25","AK","Research 2000-3",39,58,"10/29/08",6
"26","AK","Rasmussen-1",41,57,"10/28/08",7
"27","AK","Ivan Moore Research-3",42,53,"10/18/08",17
"28","AK","Research 2000-3",38,57,"10/15/08",20
"29","AK","Rasmussen-1",40,55,"10/6/08",29
"30","AK","Ivan Moore Research-4",38,55,"10/4/08",31
"31","AK","Fairleigh Dickinson U.-5",37,55,"9/19/08",46
"32","AK","Research 2000-3",38,55,"9/16/08",49
"33","AK","ARG-3",39,55,"9/10/08",55
"34","AK","Rasmussen-1",33,64,"9/9/08",56
"35","AK","Ivan Moore Research-4",35,54,"8/31/08",65
"36","AK","Rasmussen-1",39,44,"7/30/08",97
"37","AK","Rasmussen-1",40,45,"7/17/08",110
"38","AK","Research 2000-3",41,51,"7/15/08",112
"39","AK","Rasmussen-1",41,45,"6/16/08",141
"40","AK","Rasmussen-1",41,50,"5/14/08",174
"41","AK","Research 2000-3",42,49,"5/13/08",175
"42","AK","Rasmussen-1",43,48,"4/7/08",211
"43","AK","SurveyUSA-3",43,48,"2/27/08",251
"44","AK","Election 2004-1",35,62,"1/1/08",308
"45","AZ","ARG-3",46,50,"10/29/08",6
"46","AZ","Research 2000-3",47,48,"10/29/08",6
"47","AZ","Mason-Dixon-2",44,48,"10/27/08",8
"48","AZ","Rasmussen-1",46,51,"10/26/08",9
"49","AZ","Opinion Research-6",46,53,"10/25/08",10
"50","AZ","Arizona State U.-4",44,46,"10/24/08",11
"51","AZ","Northern Arizona U.-10",41,49,"10/22/08",13
"52","AZ","Zimmerman-4",42,44,"10/17/08",18
"53","AZ","Rasmussen-1",38,59,"9/29/08",36
"54","AZ","Arizona State U.-4",38,45,"9/26/08",39
"55","AZ","ARG-4",39,56,"9/12/08",53
"56","AZ","Arizona State U.-3",30,40,"8/15/08",81
"57","AZ","Mason-Dixon-3",41,47,"8/14/08",82
"58","AZ","Rasmussen-1",36,52,"7/30/08",97
"59","AZ","Rasmussen-1",40,49,"6/25/08",132
"60","AZ","Arizona State U.-2",28,38,"6/20/08",137
"61","AZ","Rocky Mtn Poll-9",39,50,"5/16/08",172
"62","AZ","Arizona State U.-4",38,47,"4/25/08",193
"63","AZ","Rasmussen-1",37,57,"4/15/08",203
"64","AZ","Northern Arizona U.-10",33,55,"4/3/08",215
"65","AZ","SurveyUSA-3",39,51,"2/27/08",251
"66","AZ","Arizona State U.-4",38,49,"2/22/08",256
"67","AZ","Election 2004-1",45,55,"1/1/08",308
"68","AR","ARG-4",44,51,"10/29/08",6
"69","AR","Rasmussen-1",44,54,"10/27/08",8
"70","AR","Research 2000-2",41,52,"10/21/08",14
"71","AR","U. of Arkansas-21",36,51,"10/11/08",24
"72","AR","Rasmussen-1",42,51,"9/22/08",43
"73","AR","ARG-3",41,53,"9/21/08",44
"74","AR","Rasmussen-1",37,47,"7/14/08",113
"75","AR","Rasmussen-1",41,45,"6/16/08",141
"76","AR","Rasmussen-1",39,48,"6/12/08",145
"77","AR","Rasmussen-1",33,57,"5/12/08",176
"78","AR","Rasmussen-1",30,59,"3/18/08",231
"79","AR","Opinion Res.-6",27,43,"3/8/08",241
"80","AR","SurveyUSA-3",33,53,"2/27/08",251
"81","AR","Election 2004-1",45,54,"1/1/08",308
"82","CA","SurveyUSA-3",60,36,"10/30/08",5
"83","CA","Rasmussen-1",61,34,"10/25/08",10
"84","CA","Field Poll-11",55,33,"10/23/08",12
"85","CA","SurveyUSA-2",59,35,"10/15/08",20
"86","CA","Public Policy Inst. of Calif.-8",56,33,"10/15/08",20
"87","CA","Rasmussen-1",56,40,"10/9/08",26
"88","CA","SurveyUSA-2",55,39,"10/4/08",31
"89","CA","SurveyUSA-2",53,43,"9/23/08",42
"90","CA","Rasmussen-1",56,39,"9/22/08",43
"91","CA","ARG-3",53,39,"9/19/08",46
"92","CA","Public Policy Inst. of Calif.-8",50,40,"9/12/08",53
"93","CA","Field Poll-10",52,36,"9/9/08",56
"94","CA","Rasmussen-1",51,37,"8/20/08",76
"95","CA","Pub. Policy Inst. of Calif.-8",48,39,"8/15/08",81
"96","CA","Rasmussen-1",50,38,"7/24/08",103
"97","CA","Pub. Policy Inst. of Calif.-15",50,35,"7/15/08",112
"98","CA","Field Poll-7",54,30,"7/11/08",116
"99","CA","Rasmussen-1",58,30,"6/23/08",134
"100","CA","SurveyUSA-3",53,41,"6/18/08",139
"101","CA","Field Poll-12",52,35,"5/21/08",167
"102","CA","LA Times-2",47,40,"5/20/08",168
"103","CA","Rasmussen-1",52,38,"5/20/08",168
"104","CA","SurveyUSA-3",49,41,"5/17/08",171
"105","CA","Rasmussen-1",50,43,"4/16/08",202
"106","CA","SurveyUSA-3",50,43,"4/12/08",206
"107","CA","SurveyUSA-3",54,40,"3/15/08",234
"108","CA","Public Policy Inst. of Calif.-8",49,40,"3/14/08",235
"109","CA","Rasmussen-1",53,38,"3/12/08",237
"110","CA","SurveyUSA-3",51,40,"2/27/08",251
"111","CA","SurveyUSA-3",61,34,"2/16/08",262
"112","CA","Election 2004-1",55,44,"1/1/08",308
"113","CO","ARG-3",52,45,"10/29/08",6
"114","CO","Mason-Dixon-2",49,44,"10/28/08",7
"115","CO","Marist Coll.-2",51,45,"10/27/08",8
"116","CO","Rasmussen-1",50,46,"10/26/08",9
"117","CO","Insider Advantage-1",53,45,"10/26/08",9
"118","CO","Opinion Research-6",53,45,"10/25/08",10
"119","CO","Financial Dynamics-5",48,44,"10/25/08",10
"120","CO","GfK Roper-5",50,41,"10/24/08",11
"121","CO","Public Opinion Strat.-3",52,40,"10/22/08",13
"122","CO","Insider Advantage-1",51,46,"10/20/08",15
"123","CO","Rasmussen-1",51,46,"10/19/08",16
"124","CO","Rasmussen-1",52,45,"10/16/08",19
"125","CO","Opinion Research-4",51,47,"10/12/08",23
"126","CO","Suffolk U.-4",47,43,"10/11/08",24
"127","CO","Quinnipiac U.-5",52,43,"10/10/08",25
"128","CO","Insider Advantage-1",51,45,"10/6/08",29
"129","CO","Rasmussen-1",51,45,"10/5/08",30
"130","CO","Mason-Dixon-3",44,44,"9/30/08",35
"131","CO","Rasmussen-1",49,48,"9/28/08",37
"132","CO","ARG-3",45,48,"9/24/08",41
"133","CO","Insider Advantage-1",50,41,"9/23/08",42
"134","CO","Rasmussen-1",50,47,"9/23/08",42
"135","CO","Opinion Research-3",51,47,"9/22/08",43
"136","CO","Ciruli Assoc.-5",44,43,"9/21/08",44
"137","CO","Quinnipiac U.-8",49,45,"9/17/08",48
"138","CO","Insider Advantage-1",51,41,"9/17/08",48
"139","CO","Rasmussen-1",46,48,"9/14/08",51
"140","CO","Financial Dynamics-5",45,44,"9/13/08",52
"141","CO","ARG-4",44,46,"9/11/08",54
"142","CO","Insider Advantage-2",49,46,"9/9/08",56
"143","CO","Rasmussen-1",49,46,"9/7/08",58
"144","CO","Opinion Research-3",46,47,"8/25/08",71
"145","CO","Suffolk U.-4",44,39,"8/22/08",74
"146","CO","Quinnipiac U.-7",46,47,"8/18/08",78
"147","CO","Mason-Dixon-3",46,43,"8/14/08",82
"148","CO","Rasmussen-1",45,47,"8/13/08",83
"149","CO","Rocky Mtn Poll-3",41,44,"8/12/08",84
"150","CO","Rasmussen-1",49,42,"7/21/08",106
"151","CO","Quinnipiac U.-9",44,46,"7/18/08",109
"152","CO","Quinnipiac U.-8",49,44,"6/20/08",137
"153","CO","Rasmussen-1",43,41,"6/17/08",140
"154","CO","Rasmussen-1",48,42,"5/19/08",169
"155","CO","Rasmussen-1",46,43,"4/16/08",202
"156","CO","Rasmussen-1",46,46,"3/17/08",232
"157","CO","SurveyUSA-3",50,41,"2/27/08",251
"158","CO","Election 2004-1",47,52,"1/1/08",308
"159","CT","U. of Connecticut-5",56,31,"10/20/08",15
"160","CT","Rasmussen-1",56,39,"10/14/08",21
"161","CT","SurveyUSA-2",54,38,"9/24/08",41
"162","CT","Pulsar Research-5",49,35,"9/21/08",44
"163","CT","ARG-3",54,39,"9/18/08",47
"164","CT","Rasmussen-1",53,41,"9/16/08",49
"165","CT","Rasmussen-1",51,36,"7/31/08",96
"166","CT","Research 2000-3",57,35,"7/1/08",126
"167","CT","Rasmussen-1",52,35,"6/30/08",127
"168","CT","Quinnipiac U.-4",56,35,"6/27/08",130
"169","CT","Rasmussen-1",47,44,"5/29/08",159
