state,Obama,Romney,Pollster,days.until
WY,33,65,2008ActualMargin,365
DC,92,7,2008ActualMargin,365
DE,62,37,2008ActualMargin,365
AK,38,59,2008ActualMargin,365
AL,36,51,Capital Survey Research Center,134
AZ,46,53,PPP (D),5
AZ,44,52,YouGov,5
AZ,44,52,Rasmussen/CBS 5,18
AZ,43,52,YouGov,28
AZ,42,40,Behavior Research Center,29
AZ,44,53,PPP (D),36
AZ,42,46,Moore Information (R-HighGround),43
AZ,42,52,Rasmussen,44
AZ,45,48,Purple Strategies,50
AZ,41,51,YouGov,55
AZ,44,53,PPP (D-League of Conservation Voters),60
AZ,41,52,PPP (D-League of Conservation Voters),106
AZ,41,54,Rasmussen,135
AZ,46,49,PPP (D),156
AZ,43,50,PPP (D),172
AZ,43,52,Magellan (R),190
AZ,40,42,ASU - Merrill/Morrison Institute,202
AZ,42,40,Behavior Research Center,205
AZ,40,51,Rasmussen,240
AZ,40,45,NBC/Marist,262
AZ,47,47,PPP (D),263
AZ,37,43,Behavior Research Center,304
AZ,42,49,PPP (D),354
AZ,45,40,Behavior Research Center,381
AR,31,58,U of Arkansas,25
AR,35,56,Hendrix College ,52
AR,33,57,Hendrix College ,227
CA,55,40,YouGov,5
CA,54,39,Field/UC Berkeley,9
CA,56,33,CBRT/Pepperdine/M4,11
CA,55,39,USC/LATimes,18
CA,53,41,PPIC,18
CA,53,38,Reason/Rupe,24
CA,58,39,YouGov,28
CA,54,33,CBRT/Pepperdine/M4,29
CA,53,39,SurveyUSA,30
CA,58,34,Field/UC Berkeley,52
CA,53,39,PPIC,53
CA,56,39,YouGov,55
CA,55,33,CBRT/Pepperdine/M4,57
CA,57,35,SurveyUSA,58
CA,56,33,PACE/USC,93
CA,52,33,CBRT/Pepperdine/M4,114
CA,55,37,Field,129
CA,57,36,SurveyUSA,163
CA,48,32,Field,163
CA,56,37,USC/LATimes,171
CA,50,39,PPIC,172
CA,62,31,SurveyUSA,220
CA,57,36,USC/LATimes,234
CA,55,35,Field,264
CA,57,35,Rasmussen,266
CA,60,31,SurveyUSA,273
CA,50,40,Field,347
CA,57,36,PPP (D),361
CA,50,39,SurveyUSA,364
CA,52,35,USC/LATimes,365
CA,56,36,PPP (D),648
CO,48,47,Ipsos/Reuters (Web),3
CO,52,46,PPP (D),4
CO,50,46,OnSight/Keating (D),4
CO,45,44,Lake Research (D),4
CO,48,47,YouGov,5
CO,46,46,Ipsos/Reuters (Web),6
CO,50,46,PPP (D-LCV),7
CO,47,45,Denver Post/SurveyUSA,8
CO,50,48,CNN,8
CO,50,47,We Ask America,9
CO,47,50,Rasmussen,10
CO,48,45,Grove Insight (D-Project New America/USAction),10
CO,47,48,ARG,11
CO,51,47,PPP (D),14
CO,47,46,Purple Strategies,14
CO,46,43,Grove Insight (D-Project New America/USAction),15
CO,48,45,OnSight/Keating (D),15
CO,48,48,NBC/WSJ/Marist,15
CO,46,50,Rasmussen,18
CO,50,47,PPP (D),21
CO,47,44,Grove Insight (D-Project New America),23
CO,47,48,We Ask America,24
CO,48,46,Gravis Marketing,28
CO,48,45,YouGov,28
CO,45,46,Denver Post/SurveyUSA,29
CO,47,48,Quinnipiac/NYT/CBS,30
CO,46,50,ARG,31
CO,49,48,Rasmussen,32
CO,47,43,Selzer/University of Denver,34
CO,46,49,Gravis Marketing,35
CO,46,50,McLaughlin (R-American Conservative Union),37
CO,49,46,We Ask America,42
CO,51,45,PPP (D),46
CO,50,46,Gravis Marketing,47
CO,48,45,Purple Strategies,50
CO,50,45,NBC/WSJ/Marist,51
CO,45,47,Rasmussen,52
CO,48,47,Quinnipiac/NYT/CBS,52
CO,50,45,YouGov,55
CO,49,47,ARG,57
CO,45,44,Denver Post/SurveyUSA,57
CO,49,44,OnSight/Project New America/Keating (D),58
CO,49,46,PPP (D),67
CO,48,44,OnSight/Keating (D),78
CO,49,46,Purple Strategies,86
CO,45,46,Gravis Marketing,91
CO,47,47,Rasmussen,94
CO,45,50,Quinnipiac/NYT/CBS,94
CO,49,43,PPP (D),95
CO,45,44,Purple Strategies,118
CO,49,42,Garin-Hart-Yang (D-Priorities USA),128
CO,47,43,We Ask America,136
CO,49,42,PPP (D),144
CO,45,45,Rasmussen,155
CO,48,46,Purple Strategies,156
CO,46,45,NBC/Marist,168
CO,48,44,Project New America,168
CO,47,47,Purple Strategies,199
CO,53,40,PPP (D),215
CO,47,45,PPP (D),340
CT,54,39,YouGov,5
CT,55,42,PPP (D),6
CT,55,41,Quinnipiac,17
CT,52,45,Rasmussen,18
CT,53,40,SurveyUSA/WABC-TV,18
CT,49,42,Mason-Dixon,22
CT,53,44,PPP (D-LCV),23
CT,51,37,UConn/Hartford Courant,23
CT,53,38,Siena,25
CT,53,39,YouGov,28
CT,51,45,Rasmussen,32
CT,54,42,Quinnipiac,37
CT,54,41,PPP (D),43
CT,53,32,UConn/Hartford Courant,53
CT,53,40,YouGov,55
CT,52,45,Quinnipiac,74
CT,53,40,PPP (D-League of Conservation Voters),77
CT,51,43,Rasmussen,79
CT,51,43,PPP (D),102
CT,50,38,Quinnipiac,158
CT,53,37,Quinnipiac,234
FL,49,49,Gravis Marketing,3
FL,47,48,Ipsos/Reuters (Web),3
FL,48,48,JZ Analytics/Newsmax,3
FL,47,52,InsiderAdvantage/Florida Times-Union,4
FL,50,49,PPP (D),4
FL,49,49,Angus-Reid,5
FL,47,48,YouGov,5
FL,48,46,Ipsos/Reuters (Web),6
FL,47,45,Mellman (D-Americans United for Change),6
FL,49,47,NBC/WSJ/Marist,7
FL,45,51,Mason-Dixon,7
FL,47,50,Gravis Marketing,9
FL,49,50,We Ask America,9
FL,48,47,JZ Analytics/Newsmax,9
FL,48,50,Pulse Opinion Research/Let Freedom Ring (R),10
