state.name,date,pollster,grade,samplesize,population,clinton,trump,state,days_until,
New Mexico,11/6/16,Zia Poll,,8439,lv,46,44,NM,2,
Virginia,11/3/16,Public Policy Polling,B+,1238,lv,48,43,VA,5,
Iowa,11/2/16,Selzer & Company,A+,800,lv,39,46,IA,6,
Wisconsin,10/28/16,Marquette University,A,1255,lv,46,40,WI,11,
North Carolina,11/5/16,Siena College,A,800,lv,44,44,NC,3,
Georgia,11/6/16,Landmark Communications,B,1200,lv,46,49,GA,2,
Florida,11/4/16,Quinnipiac University,A-,884,lv,46,45,FL,4,
North Carolina,11/4/16,Quinnipiac University,A-,870,lv,47,45,NC,4,
Virginia,10/28/16,ABC News/Washington Post,A+,1024,lv,48,42,VA,11,
Georgia,11/4/16,Gravis Marketing,B-,2002,rv,44,48,GA,4,
Oregon,11/4/16,Gravis Marketing,B-,1963,rv,44,40,OR,4,
Ohio,11/4/16,Gravis Marketing,B-,1781,rv,42,48,OH,4,
South Carolina,11/4/16,Gravis Marketing,B-,1751,rv,43,48,SC,4,
Ohio,11/3/16,YouGov,B,1189,lv,45,46,OH,5,
Virginia,11/1/16,Remington,,3076,lv,46,44,VA,7,
New York,11/4/16,Gravis Marketing,B-,1681,rv,55,36,NY,4,
Michigan,11/3/16,Public Policy Polling,B+,957,lv,46,41,MI,5,
North Carolina,10/31/16,Public Policy Polling,B+,1169,lv,49,47,NC,8,
Wisconsin,11/1/16,Remington,,2720,lv,49,41,WI,7,
Pennsylvania,11/1/16,Remington,,2683,lv,46,45,PA,7,
Virginia,11/3/16,Christopher Newport University,B-,1193,lv,48,42,VA,5,
North Carolina,11/1/16,Remington,,2596,lv,45,48,NC,7,
Ohio,11/1/16,Remington,,2557,lv,44,45,OH,7,
Georgia,11/4/16,YouGov,B,995,lv,43,49,GA,4,
Missouri,10/31/16,Public Policy Polling,B+,1083,lv,37,50,MO,8,
New Hampshire,11/4/16,Emerson College,B,1000,lv,45.4,43.8,NH,4,
Arizona,11/4/16,Gravis Marketing,B-,1453,rv,43,45,AZ,4,
Florida,11/1/16,Remington,,2352,lv,45,48,FL,7,
Pennsylvania,10/31/16,Public Policy Polling,B+,1050,lv,48,44,PA,8,
Pennsylvania,11/4/16,YouGov,B,931,lv,45,43,PA,4,
Nevada,11/4/16,Gravis Marketing,B-,1158,lv,45,43,NV,4,
Colorado,11/4/16,Gravis Marketing,B-,1378,rv,44,43,CO,4,
Florida,11/3/16,YouGov,B,1188,rv,45,45,FL,5,
Wisconsin,11/1/16,Clarity Campaign Labs,B,1129,lv,47,43,WI,7,
Ohio,11/4/16,Emerson College,B,900,lv,38.9,45.6,OH,4,
New Hampshire,11/4/16,University of New Hampshire,B+,692,lv,49,38,NH,4,
Pennsylvania,11/2/16,Clarity Campaign Labs,B,1033,lv,47,43,PA,6,
Florida,10/22/16,SurveyUSA,A,1251,lv,48,45,FL,17,
California,10/28/16,YouGov,B,1498,lv,53,33,CA,11,
Colorado,11/1/16,Remington,,1863,lv,42,41,CO,7,
New York,11/3/16,Siena College,A,617,lv,51,34,NY,5,
Nevada,11/1/16,Remington,,1793,lv,45,46,NV,7,
Pennsylvania,11/4/16,Gravis Marketing,B-,1220,rv,46,40,PA,4,
Arizona,10/31/16,Marist College,A,719,lv,40,45,AZ,8,
Missouri,11/1/16,Clarity Campaign Labs,B,1036,lv,38,54,MO,7,
Wisconsin,11/4/16,Gravis Marketing,B-,1184,rv,47,44,WI,4,
Washington,11/1/16,SurveyUSA,A,681,lv,50,38,WA,7,
Virginia,11/2/16,Gravis Marketing,B-,1362,rv,47,42,VA,6,
Wisconsin,10/31/16,Public Policy Polling,B+,891,lv,48,41,WI,8,
California,10/26/16,Greenberg Quinlan Rosner/American Viewpoint,B+,1382,lv,54,30,CA,13,
Georgia,10/31/16,Marist College,A,707,lv,44,45,GA,8,
California,10/29/16,SurveyUSA,A,747,lv,56,35,CA,10,
Florida,11/4/16,SurveyMonkey,C-,4092,lv,47,45,FL,4,
Texas,10/31/16,Marist College,A,679,lv,40,49,TX,8,
Missouri,10/31/16,Remington,,1722,lv,39,52,MO,8,
Arizona,10/30/16,Saguaro Strategies,,2229,lv,45,44,AZ,9,
Utah,11/4/16,YouGov,B,762,lv,23,40,UT,4,
Colorado,11/3/16,Public Policy Polling,B+,704,lv,48,43,CO,5,
Virginia,11/4/16,Hampton University,B,802,lv,45,41,VA,4,
Utah,11/1/16,Emerson College,B,1000,lv,19.6,39.8,UT,7,
North Carolina,11/4/16,SurveyMonkey,C-,3126,lv,48,41,NC,4,
Texas,11/4/16,SurveyMonkey,C-,3009,lv,43,46,TX,4,
