"","question_id","poll_id","statename","pollster","fte_grade","sample_size","population","mid_date","biden","trump","pollster_id","display_name","population_full","methodology","election_date","state","days.until"
"1",136229,72591,"Alabama","Data for Progress","B",1045,"lv","10/29/20",38,58,1515,"Data for Progress","lv","Online/Text","11/3/20","AL",5
"2",136545,72763,"Alabama","Swayable","C",330,"lv","10/29/20",37.799999,55,1522,"Swayable","lv","Online","11/3/20","AL",5
"3",131969,70580,"Alabama","Auburn University at Montgomery","B/C",1072,"rv","10/1/20",37.200001,56.799999,1590,"Auburn University at Montgomery","rv","Online","11/3/20","AL",33
"4",127089,67879,"Alabama","Morning Consult","B",609,"lv","7/28/20",36,58,1189,"Morning Consult","lv","Online","11/3/20","AL",98
"5",133902,71516,"Alabama","SurveyMonkey","C",2781,"rv","10/5/20",41,56,1193,"SurveyMonkey","rv","Online","11/3/20","AL",29
"6",136666,72859,"Alabama","SurveyMonkey","C",1808,"rv","10/26/20",39,58,1193,"SurveyMonkey","rv","Online","11/3/20","AL",8
"7",135635,72295,"Alabama","Swayable","C",266,"lv","10/24/20",37.200001,55.799999,1522,"Swayable","lv","Online","11/3/20","AL",10
"8",125274,67048,"Alabama","Auburn University at Montgomery","B/C",558,"rv","7/5/20",40.599998,55,1590,"Auburn University at Montgomery","rv","Online","11/3/20","AL",121
"9",135999,72473,"Alabama","SurveyMonkey","C",1752,"lv","10/23/20",38,60,1193,"SurveyMonkey","lv","Online","11/3/20","AL",11
"10",131090,70344,"Alabama","SurveyMonkey","C",1354,"rv","9/15/20",42.240002,54.779999,1193,"SurveyMonkey","rv","Online","11/3/20","AL",49
"11",135579,72291,"Alabama","SurveyMonkey","C",3363,"rv","10/14/20",41,57,1193,"SurveyMonkey","rv","Online","11/3/20","AL",20
"12",134721,71875,"Alabama","SurveyMonkey","C",3093,"lv","10/9/20",38,61,1193,"SurveyMonkey","lv","Online","11/3/20","AL",25
"13",133954,71516,"Alabama","SurveyMonkey","C",2781,"lv","10/5/20",38,60,1193,"SurveyMonkey","lv","Online","11/3/20","AL",29
"14",134166,71618,"Alabama","SurveyMonkey","C",2890,"lv","10/6/20",38,60,1193,"SurveyMonkey","lv","Online","11/3/20","AL",28
"15",133609,71349,"Alabama","SurveyMonkey","C",2675,"lv","10/3/20",39,59,1193,"SurveyMonkey","lv","Online","11/3/20","AL",31
"16",136413,72712,"Alabama","SurveyMonkey","C",1608,"rv","10/26/20",39,58,1193,"SurveyMonkey","rv","Online","11/3/20","AL",8
"17",136718,72859,"Alabama","SurveyMonkey","C",1808,"lv","10/26/20",36,62,1193,"SurveyMonkey","lv","Online","11/3/20","AL",8
"18",129665,69581,"Alabama","The Tyson Group","B/C",600,"lv","8/18/20",44,48,1571,"The Tyson Group","lv","Live Phone","11/3/20","AL",77
"19",133557,71349,"Alabama","SurveyMonkey","C",2675,"rv","10/3/20",42,56,1193,"SurveyMonkey","rv","Online","11/3/20","AL",31
"20",136144,72574,"Alabama","SurveyMonkey","C",1714,"rv","10/24/20",41,56,1193,"SurveyMonkey","rv","Online","11/3/20","AL",10
"21",133215,71156,"Alabama","SurveyMonkey","C",2265,"lv","9/30/20",39,59,1193,"SurveyMonkey","lv","Online","11/3/20","AL",34
"22",135834,72394,"Alabama","SurveyMonkey","C",1786,"lv","10/22/20",38,60,1193,"SurveyMonkey","lv","Online","11/3/20","AL",12
"23",133008,71062,"Alabama","SurveyMonkey","C",2149,"lv","9/29/20",39,59,1193,"SurveyMonkey","lv","Online","11/3/20","AL",35
"24",135264,72137,"Alabama","SurveyMonkey","C",3255,"lv","10/13/20",37,61,1193,"SurveyMonkey","lv","Online","11/3/20","AL",21
"25",132956,71062,"Alabama","SurveyMonkey","C",2149,"rv","9/29/20",42,55,1193,"SurveyMonkey","rv","Online","11/3/20","AL",35
"26",131146,70395,"Alabama","SurveyMonkey","C",1220,"lv","8/16/20",33,65,1193,"SurveyMonkey","lv","Online","11/3/20","AL",79
"27",131197,70395,"Alabama","SurveyMonkey","C",1220,"rv","8/16/20",36.689999,60.099998,1193,"SurveyMonkey","rv","Online","11/3/20","AL",79
"28",133492,71291,"Alabama","SurveyMonkey","C",2591,"lv","10/2/20",39,59,1193,"SurveyMonkey","lv","Online","11/3/20","AL",32
