state.name,clinton,trump,state
Alabama,34.4,62.1,AL
Alaska,36.6,51.3,AK
Arizona,44.6,48.1,AZ
Arkansas,33.7,60.6,AR
California,61.5,31.5,CA
Colorado,48.2,43.3,CO
Connecticut,54.6,40.9,CT
Delaware,53.1,41.7,DE
Florida,47.4,48.6,FL
Georgia,45.3,50.4,GA
Hawaii,62.2,30,HI
Idaho,27.5,59.2,ID
Illinois,55.2,38.4,IL
Indiana,37.5,56.5,IN
Iowa,41.7,51.1,IA
Kansas,35.7,56.2,KS
Kentucky,32.7,62.5,KY
Louisiana,38.4,58.1,LA
Maine,47.8,44.9,ME
Maryland,60.3,33.9,MD
Massachusetts,60,32.8,MA
Michigan,47,47.3,MI
Minnesota,46.4,44.9,MN
Mississippi,40.1,57.9,MS
Missouri,37.9,56.4,MO
Montana,35.4,55.6,MT
Nebraska,33.7,58.7,NE
Nevada,47.9,45.5,NV
New Hampshire,46.8,46.5,NH
New Jersey,55,41,NJ
New Mexico,48.3,40,NM
New York,59,36.5,NY
North Carolina,46.2,49.8,NC
North Dakota,27.2,63,ND
Ohio,43.2,51.3,OH
Oklahoma,28.9,65.3,OK
Oregon,50.1,39.1,OR
Pennsylvania,47.5,48.2,PA
Rhode Island,54.4,38.9,RI
South Carolina,40.7,54.9,SC
South Dakota,31.7,61.5,SD
Tennessee,34.7,60.7,TN
Texas,43.2,52.2,TX
Utah,27.2,45.1,UT
Vermont,56.7,30.3,VT
Virginia,49.8,44.4,VA
Washington,52.5,36.8,WA
West Virginia,26.2,67.9,WV
Wisconsin,46.5,47.2,WI
Wyoming,21.9,68.2,WY
District of Columbia,90.9,4.1,DC
